"Event Title","Event ID","Date","Start Time","End Time","Location","Category","Price","Status","Availability","Event URL"
"Taste of New England Farms","184860","2026-06-01","All Day","All Day","Café Q","Food & Beverage","Free / Included","Available","","https://members.thequinhouse.com/events/184860"
"Member Mingle","186695","2026-06-09","5:00 PM","7:00 PM","The Living Room","Member Mixer","Free","Available","4 spots left","https://members.thequinhouse.com/events/186695"
"Boston Music Project","189549","2026-06-09","6:00 PM","7:00 PM","The Reading Room","'Quin Impact Fund","Free / Included","Available","","https://members.thequinhouse.com/events/189549"
"Author's Circle Book Club: The Gap Years with Tom French","186709","2026-06-09","7:30 PM","8:30 PM","The Terrace Room","The Arts","Free","Available","2 spots left","https://members.thequinhouse.com/events/186709"
"Author Talk: ""Checkmate"" with Ben Mezrich","187622","2026-06-10","5:00 PM","6:30 PM","The Pub","The Arts","Free","Confirmed","3 spots left","https://members.thequinhouse.com/events/187622"
"Live Music: Bob Richardson","176372","2026-06-10","6:00 PM","9:00 PM","The Reading Room","The Arts","Free / Included","Available","","https://members.thequinhouse.com/events/176372"
"World Cup Watch Party: Mexico vs. South Africa","186730","2026-06-11","3:00 PM","5:00 PM","The Pub","Sports & Games","Free / Included","Available","","https://members.thequinhouse.com/events/186730"
"Wit & Word: A Performance in Written Humor","186725","2026-06-11","5:30 PM","7:30 PM","Scottie's","The Arts","Free","Available","6 spots left","https://members.thequinhouse.com/events/186725"
"World Cup Watch Party: Canada vs. Bosnia-Herzegovina","189605","2026-06-12","3:00 PM","5:00 PM","The Pub","Sports & Games","Free / Included","Available","","https://members.thequinhouse.com/events/189605"
"World Cup Watch Party: USA vs. Paraguay","189604","2026-06-12","9:00 PM","11:00 PM","The Pub","Sports & Games","Free / Included","Available","","https://members.thequinhouse.com/events/189604"
"Serendipity Brunch: Celebrating Pride","186727","2026-06-13","12:00 PM","2:00 PM","Lunasol","Member Mixer","$65.00","Waitlist Only","","https://members.thequinhouse.com/events/186727"
"Member Mingle","186696","2026-06-16","5:00 PM","7:00 PM","The Living Room","Member Mixer","Free","Available","12 spots left","https://members.thequinhouse.com/events/186696"
